fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
5.2;0.574;0.354;1.9;0.097;10;56;0.9966;3.53;0.85;10.7;6
8.2;0.685;0.345;3.8;0.071;25;109;0.9971;3.29;0.95;11.2;8
8.3;0.443;0.475;3.2;0.085;1;140;0.9979;3.21;0.54;11.6;5
7.2;0.264;0.512;2.1;0.059;28;171;0.9947;3.4;0.52;12.2;8
6.6;0.33;0.424;2.7;0.14;23;129;0.9961;3.41;0.65;11.1;5
7.5;0.477;0.175;3.4;0.103;21;46;0.9987;3.34;0.86;9.8;4
9.0;0.331;0.058;0.9;0.073;11;34;0.9945;3.29;0.55;10.8;8
9.7;0.373;0.273;4.8;0.077;2;75;0.9993;3.24;0.58;11.5;8
8.3;0.454;0.204;2.7;0.104;1;151;0.997;3.31;0.48;10.4;4
7.7;0.387;0.324;3.5;0.077;26;134;0.9979;3.42;0.62;12.2;8
8.4;0.321;0.338;2.3;0.02;23;45;0.9981;3.32;0.39;8.9;3
7.2;0.462;0.252;1.4;0.044;18;90;0.9962;3.43;0.61;10.1;6
8.7;0.731;0.285;2.2;0.041;37;192;0.9974;3.26;0.48;9.6;3
7.5;0.547;0.409;1.8;0.063;13;94;0.9946;3.31;0.65;12.6;8
8.1;0.434;0.051;4.7;0.058;16;149;0.9985;3.31;0.71;9.5;3
7.8;0.718;0.219;1.5;0.012;1;138;0.9948;3.27;0.95;10.5;4
9.1;0.697;0.157;3.1;0.126;19;81;0.9961;3.24;0.55;11.9;8
5.3;0.714;0.26;1.9;0.042;2;70;0.9959;3.48;0.84;11.7;6
12.0;0.524;0.262;4.6;0.113;1;123;0.9987;3.09;0.62;11.0;5
9.4;0.919;0.0;3.3;0.092;19;64;0.9984;3.23;0.67;9.7;3
6.4;0.593;0.199;2.1;0.125;14;115;0.9973;3.45;0.81;8.9;3
7.9;0.498;0.0;0.9;0.127;22;43;0.9964;3.23;0.33;8.5;3
8.1;0.363;0.336;7.0;0.012;25;138;1.0008;3.3;0.33;10.4;7
9.2;0.637;0.188;0.9;0.104;12;116;0.9953;3.18;0.75;9.7;3
9.4;0.409;0.117;1.7;0.1;41;174;0.9954;3.34;0.62;11.3;8
7.2;0.694;0.143;1.6;0.074;13;92;0.9976;3.38;1.02;9.4;6
6.5;0.488;0.371;3.6;0.125;1;91;0.9977;3.4;0.51;11.7;8
5.0;0.409;0.356;3.9;0.131;25;78;0.9968;3.5;0.73;12.1;7
8.8;0.741;0.581;4.6;0.048;17;103;0.9981;3.33;0.79;10.9;8
7.8;0.443;0.154;0.9;0.149;8;112;0.9955;3.27;0.56;9.6;3
9.4;0.192;0.151;2.9;0.06;19;51;0.9957;3.26;0.71;10.3;6
5.9;0.781;0.471;1.9;0.101;16;110;0.9971;3.51;0.93;8.4;3
5.5;0.278;0.243;2.8;0.127;5;45;0.9954;3.44;0.61;12.2;8
7.2;0.46;0.124;0.9;0.071;3;66;0.9962;3.39;0.75;10.3;3
8.3;0.239;0.278;0.9;0.166;6;55;0.9943;3.32;0.94;10.1;6
8.5;0.435;0.111;2.6;0.145;14;152;0.9963;3.37;0.87;10.3;8
7.7;0.349;0.394;2.0;0.147;22;97;0.9963;3.28;0.98;11.5;7
9.3;0.291;0.178;2.7;0.127;27;87;0.9965;3.18;0.73;11.0;8
8.0;0.279;0.16;3.3;0.085;26;163;0.997;3.37;0.6;10.8;7
11.9;0.683;0.144;0.9;0.142;13;89;0.9943;3.11;0.78;10.5;8
7.3;0.324;0.443;3.1;0.031;19;130;0.9982;3.37;0.33;10.2;6
9.4;0.624;0.177;0.9;0.139;17;117;0.9944;3.23;0.62;12.0;6
8.1;0.306;0.354;2.9;0.095;30;75;0.9969;3.27;0.5;10.5;6
8.6;0.327;0.059;2.3;0.071;1;38;0.998;3.29;0.67;8.4;3
7.3;0.216;0.173;3.1;0.102;17;115;0.9969;3.44;0.76;10.6;7
6.7;0.691;0.0;4.2;0.121;16;168;0.9979;3.37;0.37;10.3;3
6.8;0.12;0.204;1.4;0.127;17;151;0.996;3.38;0.74;10.4;8
9.9;0.455;0.302;3.9;0.126;26;56;0.9978;3.2;0.65;11.4;8
8.5;0.273;0.381;1.9;0.084;12;129;0.9965;3.26;0.33;10.7;4
6.7;0.405;0.555;6.4;0.079;16;120;1.0005;3.46;0.74;10.8;8
8.8;0.414;0.379;2.1;0.167;16;88;0.9956;3.38;0.68;11.3;8
9.0;0.78;0.167;5.1;0.038;16;134;0.9985;3.21;0.8;9.6;6
11.1;0.393;0.364;2.3;0.012;2;140;0.9968;3.21;0.61;9.9;5
